id,word,category,level,part_of_speech,chinese_meaning,simple_definition,detailed_definition,example_sentence,creative_writing_example,synonyms,antonyms,common_collocations,word_family,difficulty_score,review_schedule
VAC0001,analyse,Academic Core Vocabulary,1,verb,分析,To look closely at something so you can understand how it works or what it means.,"To examine information, ideas, or evidence carefully by breaking them into parts and explaining how those parts connect.","In science, we analyse the data from our plant experiment before writing a conclusion.",Basic: We looked at the results. / Improved: We analysed the results to explain why some seeds grew faster.,examine|study|investigate,ignore|overlook,analyse data|analyse a text|analyse the results,analyse|analysis|analytical|analytically|analyst,3,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0002,significant,Academic Core Vocabulary,1,adjective,重要的；显著的,Important enough to notice or to make a real difference.,"Large, meaningful, or important in a way that affects a result, decision, or understanding.",There was a significant rise in recycling after the school launched its new bins.,Basic: It was a big change. / Improved: It was a significant change that improved the whole programme.,important|notable|considerable,minor|insignificant,significant difference|significant impact|statistically significant,significant|significance|significantly|insignificant,3,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0003,environment,Academic Core Vocabulary,1,noun,环境,"The natural world around us, or the conditions in which people or animals live.","The surroundings—natural or human-made—that affect living things, including air, water, land, and social settings.",Protecting the local environment means keeping creeks clean and habitats safe for wildlife.,Basic: We should look after nature. / Improved: We should protect the environment by reducing plastic waste.,surroundings|habitat|setting,,natural environment|learning environment|protect the environment,environment|environmental|environmentally|environmentalist,2,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0004,determine,Academic Core Vocabulary,1,verb,确定；判定,To work out or decide something after thinking or checking carefully.,"To establish a fact, result, or decision through investigation, calculation, or careful judgement.",The class used a thermometer to determine the temperature of the water.,Basic: We found out the answer. / Improved: We determined the answer by testing each method.,decide|establish|ascertain,,determine the cause|determine whether|determine the outcome,determine|determination|determined|determinant,3,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0005,evaluate,Academic Core Vocabulary,1,verb,评估；评价,"To judge how good, useful, or successful something is.","To assess the quality, value, or effectiveness of ideas, evidence, or methods using clear reasons.","After the debate, we evaluate which arguments were supported by strong evidence.",Basic: We said if it was good. / Improved: We evaluated the project using clear criteria.,assess|judge|appraise,,evaluate evidence|evaluate a method|evaluate the effectiveness,evaluate|evaluation|evaluative|evaluator,4,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0006,demonstrate,Academic Core Vocabulary,1,verb,证明；演示,To show clearly that something is true or how something works.,"To prove or illustrate a point through evidence, examples, or a clear practical display.",The diagram demonstrates how water moves through the water cycle.,Basic: The picture shows the idea. / Improved: The diagram demonstrates the process step by step.,show|prove|illustrate,,demonstrate understanding|demonstrate a skill|clearly demonstrate,demonstrate|demonstration|demonstrative|demonstrator,3,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0007,justify,Academic Core Vocabulary,1,verb,证明……有理；说明理由,To give good reasons that explain why a choice or opinion is fair or correct.,"To support a claim, decision, or action with logical reasons and evidence so others can see why it is reasonable.","In your persuasive text, justify your opinion with facts, not only feelings.",Basic: Say why you think that. / Improved: Justify your opinion with two pieces of evidence.,defend|support|explain,,justify a decision|justify an opinion|justify your answer,justify|justification|justifiable|justifiably,4,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0008,perspective,Academic Core Vocabulary,1,noun,视角；观点,A particular way of looking at or thinking about something.,"A viewpoint shaped by a person’s experiences, role, or values, which can differ from other people’s views.","From a farmer’s perspective, drought is more than a weather story—it affects livelihoods.",Basic: Different people think differently. / Improved: Each character offers a different perspective on the conflict.,viewpoint|standpoint|angle,,from a … perspective|historical perspective|different perspectives,perspective|perspectives,3,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0009,consequence,Academic Core Vocabulary,1,noun,后果；结果,Something that happens as a result of an action or decision.,"An outcome—often important or serious—that follows from a cause, choice, or event.",One consequence of cutting down trees is the loss of animal habitats.,Basic: Bad things happened because of it. / Improved: A serious consequence of pollution is damage to marine life.,result|outcome|effect,cause,serious consequence|unintended consequence|as a consequence,consequence|consequences|consequent|consequently,3,Day 1|Day 3|Day 7|Day 14|Day 30
VAC0010,impact,Academic Core Vocabulary,1,noun,影响；冲击,"A strong effect that something has on a person, place, or situation.","The influence or change produced by an action, event, or idea—positive or negative.","Tourism can have a positive impact on local jobs, but also a negative impact on fragile reefs.",Basic: It changed things a lot. / Improved: The new law had a lasting impact on water safety.,effect|influence|impression,,positive impact|negative impact|have an impact on,impact|impacts|impactful,2,Day 1|Day 3|Day 7|Day 14|Day 30
